Key,ko,Comment
"INFO","정보",""
"Inspected pairs","검사한 쌍",""
"Invalid component","유효하지 않은 컴포넌트",""
"MoveComponent ignore list excludes this pair","MoveComponent 무시 목록에서 이 쌍을 제외합니다",""
"MoveComponent-style node found. Confirm that this path uses swept movement and does not ignore the blocking component.","MoveComponent 유형 노드를 찾았습니다. 이 경로가 스윕 이동을 사용하고 차단 컴포넌트를 무시하지 않는지 확인하세요.",""
"Movement API cannot be inferred from static state","정적 상태만으로 이동 API를 판단할 수 없습니다",""
"No component pair resolves to Block. Review the component pair responses below.","Block으로 판정되는 컴포넌트 쌍이 없습니다. 아래의 쌍별 반응을 검토하세요.",""
"No current overlap contact","현재 오버랩 접촉 없음",""
"No direct collision-option fix was detected. Prefer testing the actual movement path with Sweep=true and inspect the returned FHitResult.","직접 적용할 충돌 옵션 수정 사항을 찾지 못했습니다. 실제 이동 경로를 Sweep=true로 테스트하고 반환된 FHitResult를 확인하세요.",""
"No matches found in the current editor world.","현재 에디터 월드에서 일치 항목을 찾지 못했습니다.",""
"No obvious Sweep=false or Teleport movement node was found in the selected actors' Blueprint class chain.","선택한 액터의 Blueprint 클래스 계층에서 명백한 Sweep=false 또는 Teleport 이동 노드를 찾지 못했습니다.",""
"No primitive collision component","프리미티브 충돌 컴포넌트 없음",""
"Non-blocking / aux","비차단/보조",""
"Open Node","노드 열기",""
"Open the two-actor runtime collision diagnosis window.","두 액터의 런타임 충돌 진단 창을 엽니다.",""
"Overlap events are also disabled","오버랩 이벤트도 비활성화되어 있습니다",""
"PASS","통과",""
"Pass","통과",""
"Quick fix tips","빠른 수정 팁",""
"Replace With Selected","선택 항목으로 교체",""
"Result","결과",""
"Runtime physics state is missing","런타임 물리 상태가 없습니다",""
"Search actor tags, variable names, and variable values in current level instances.","현재 레벨 인스턴스에서 액터 태그, 변수 이름 및 변수 값을 검색합니다.",""
"Search actor, component, tag, variable name, or variable value","액터, 컴포넌트, 태그, 변수 이름 또는 변수 값 검색",""
"Search loaded editor-world instances without loading every Blueprint. Includes tags, Details variable names, and variable values.","모든 Blueprint를 로드하지 않고 에디터 월드 인스턴스를 검색합니다. 태그, 상세 변수 이름 및 변수 값을 포함합니다.",""
"Search loaded level instances, tags, and Details variables without freezing the editor.","에디터를 멈추지 않고 로드된 레벨 인스턴스, 태그 및 상세 변수를 검색합니다.",""
"Select or capture actor A and B, then run Analyze.","액터 A와 B를 선택하거나 캡처한 다음 분석을 실행하세요.",""
"Selected only","선택 항목만",""
"Selection required","선택 필요",""
"Short sweep probe did not hit this pair","짧은 스윕 검사가 이 쌍에 적중하지 않았습니다",""
"Suspicious movement nodes","의심스러운 이동 노드",""
"Swap A / B","A/B 교환",""
"Sweep hits","스윕 적중",""
"Sweep probe skipped: component has no world.","스윕 검사 생략: 컴포넌트에 월드가 없습니다.",""
"Sweep probe skipped: components are invalid or not in the same world.","스윕 검사 생략: 컴포넌트가 유효하지 않거나 동일한 월드에 있지 않습니다.",""
"Sweep probe skipped: the components share the same center, so no reliable sweep direction could be inferred.","스윕 검사 생략: 컴포넌트의 중심이 같아 신뢰할 수 있는 스윕 방향을 결정할 수 없습니다.",""
"Swept movement can block","스윕 이동으로 차단 가능",""
"Tag","태그",""
"Tags","태그",""
"Teleport-style movement can bypass normal swept blocking. Verify this is intentional for collision-critical movement.","Teleport 유형 이동은 일반 스윕 차단을 우회할 수 있습니다. 충돌이 중요한 이동에서 의도된 동작인지 확인하세요.",""
"The pair resolves to Overlap, not Block","이 쌍은 Block이 아닌 Overlap으로 판정됩니다",""
"This component pair is configured to Block","이 컴포넌트 쌍은 Block으로 설정되어 있습니다",""
"Two actors are required","두 액터가 필요합니다",""
"Type a search term. The scan runs in small batches so the editor does not freeze.","검색어를 입력하세요. 에디터가 멈추지 않도록 작은 배치로 검사합니다.",""
"Use Two Selected","선택한 두 개 사용",""
"Variable name","변수 이름",""
"Variable names","변수 이름",""
"Variable value","변수 값",""
"Variable values","변수 값",""
"{0} | {1} event groups | {2} live instance(s) | visible: last 45 sec","{0} | 이벤트 그룹 {1}개 | 라이브 인스턴스 {2}개 | 최근 45초 표시",""
"<Invalid Event>","<유효하지 않은 이벤트>",""
"Action: ","동작: ",""
"Add selected placeable assets, Actor classes, or Levels to favorites.","선택한 배치 가능 애셋, 액터 클래스 또는 레벨을 즐겨찾기에 추가합니다.",""
"Add to Asset & Level Favorites","애셋 및 레벨 즐겨찾기에 추가",""
"Add to Investigation","조사에 추가",""
"All sources","모든 소스",""
"Analyze latest log","최근 로그 분석",""
"Analyze the latest completed PIE log when live capture was not open.","라이브 캡처가 열려 있지 않았던 경우 최근 완료된 PIE 로그를 분석합니다.",""
"Arms one PIE click, captures its direct Blueprint flow, then watches owner callbacks and bound OnClicked delegates for up to 10 seconds. Tick-like calls and repeats are filtered.","PIE 클릭 한 번을 대기하여 직접 Blueprint 흐름을 캡처한 뒤 최대 10초 동안 소유자 콜백과 연결된 OnClicked 델리게이트를 추적합니다. Tick 유형 호출과 반복은 제외됩니다.",""
"Asset & Level Favorites","애셋 및 레벨 즐겨찾기",""
"Capture the short Blueprint function flow triggered by one PIE UMG click.","PIE UMG 클릭 한 번으로 실행되는 짧은 Blueprint 함수 흐름을 캡처합니다.",""
"Choose a class.","클래스를 선택하세요.",""
"Choose at least one variable.","변수를 하나 이상 선택하세요.",""
"Clear all notes for this function, including saved notes.","저장된 메모를 포함하여 이 함수의 모든 메모를 지웁니다.",""
"Click a PIE UMG widget once and inspect the short Blueprint function flow it triggers.","PIE UMG 위젯을 한 번 클릭하고 실행되는 짧은 Blueprint 함수 흐름을 확인합니다.",""
"Click once in an editor area to lock this panel to that context. Limit: project-specific or plugin-specific shortcuts may differ from this guide.","에디터 영역을 한 번 클릭하여 이 패널의 컨텍스트를 고정하세요. 프로젝트 또는 플러그인 전용 단축키는 안내와 다를 수 있습니다.",""
"Collapse All","모두 접기",""
"Completed PIE Log Analysis","완료된 PIE 로그 분석",""
"Completed PIE log analysis reads Saved/Logs. Instance and function recovery is evidence-based inference.","완료된 PIE 로그 분석은 Saved/Logs를 읽습니다. 인스턴스와 함수 복원은 증거 기반 추정입니다.",""
"Completed PIE Logs","완료된 PIE 로그",""
"Copy all paths and match reasons to the clipboard","모든 경로와 일치 이유를 클립보드에 복사합니다",""
"Copy this confidence step","이 신뢰도 단계를 복사",""
"Current","현재",""
"Currently shows every source.","현재 모든 소스를 표시합니다.",""
"Details","상세",""
"Erase notes by dragging over drawn strokes.","그린 선 위로 드래그하여 메모를 지웁니다.",""
"Eraser","지우개",""
"Event log","이벤트 로그",""
"Expand All","모두 펼치기",""
"Filter","필터",""
"Filter by Blueprint, graph, node, property, reason","Blueprint, 그래프, 노드, 속성 또는 이유로 필터링",""
"Filter favorite assets and levels","즐겨찾기 애셋 및 레벨 필터링",""
"Find exact Blueprint graph node, pin, or default property usage for this asset.","이 애셋을 사용하는 정확한 Blueprint 그래프 노드, 핀 또는 기본 속성을 찾습니다.",""
"Find Exact Blueprint Usage","정확한 Blueprint 사용 위치 찾기",""
"Investigate live Blueprint errors and completed PIE logs in one workspace.","하나의 작업 공간에서 라이브 Blueprint 오류와 완료된 PIE 로그를 조사합니다.",""
"Live","라이브",""
"Live Trace","라이브 추적",""
"Live UUserWidget","라이브 UUserWidget",""
"Name","이름",""
"No Blueprint call paths found.","Blueprint 호출 경로를 찾지 못했습니다.",""
"No flow captured yet.","아직 캡처된 흐름이 없습니다.",""
"No live actor references found.","라이브 액터 참조를 찾지 못했습니다.",""
"No live UUserWidget captured yet. Keep this tab open, then start PIE or open a UI.","아직 라이브 UUserWidget이 캡처되지 않았습니다. 이 탭을 연 상태에서 PIE를 시작하거나 UI를 여세요.",""
"No matching variables","일치하는 변수 없음",""
"No traceable properties","추적 가능한 속성 없음",""
"No widget lifecycle event captured yet.","아직 위젯 생명주기 이벤트가 캡처되지 않았습니다.",""
"Notes","메모",""
"Notes saved for this function.","이 함수의 메모를 저장했습니다.",""
"now","지금",""
"Observe class properties during PIE as synchronized timeline lanes.","PIE 중 클래스 속성을 동기화된 타임라인 레인으로 관찰합니다.",""
"Open Asset & Level Favorites","애셋 및 레벨 즐겨찾기 열기",""
"Open Location","위치 열기",""
"Open placeable asset and level favorites.","배치 가능 애셋 및 레벨 즐겨찾기를 엽니다.",""
"Open the asset and level favorites window.","애셋 및 레벨 즐겨찾기 창을 엽니다.",""
"Open the placeable asset and level favorites window.","배치 가능 애셋 및 레벨 즐겨찾기 창을 엽니다.",""
"Pause","일시 정지",""
"Paused","일시 정지됨",""
"PIE ended. Trace is armed for the next session.","PIE가 종료되었습니다. 다음 세션의 추적을 대기합니다.",""
"PIE started. Trace is active.","PIE가 시작되었습니다. 추적 중입니다.",""
"Place this asset at the current level viewport camera location.","이 애셋을 현재 레벨 뷰포트 카메라 위치에 배치합니다.",""
"Place this asset at world origin (0,0,0).","이 애셋을 월드 원점(0,0,0)에 배치합니다.",""
"Press an event Details button to show additional log information here.","이벤트의 상세 버튼을 누르면 여기에 추가 로그 정보가 표시됩니다.",""
"Reads project Saved/Logs after PIE and extracts instance/function candidates from Blueprint Runtime Error log blocks. Confidence is heuristic.","PIE 종료 후 프로젝트 Saved/Logs를 읽고 Blueprint Runtime Error 로그 블록에서 인스턴스/함수 후보를 추출합니다. 신뢰도는 휴리스틱 기반입니다.",""
"Refresh live widgets","라이브 위젯 새로고침",""
"Rescan","다시 검사",""
"Resume","계속",""
"Runtime Error Investigation","런타임 오류 조사",""
"Save","저장",""
"Save notes for this function and restore them the next time it is opened.","이 함수의 메모를 저장하고 다음에 열 때 복원합니다.",""
"Search classes","클래스 검색",""
"Search details","상세 검색",""
"Search variables by name, type, category or class","이름, 유형, 카테고리 또는 클래스로 변수 검색",""
"Search widget or class","위젯 또는 클래스 검색",""
"Select a change card to inspect its captured value.","변경 카드를 선택하여 캡처된 값을 확인하세요.",""
"Select a class and variables","클래스와 변수 선택",""
"Select class","클래스 선택",""
"Select properties to trace.","추적할 속성을 선택하세요.",""
"Select variables","변수 선택",""
"Show errors captured while PIE is running.","PIE 실행 중 캡처된 오류를 표시합니다.",""
"Show shortcuts for the editor panel currently under the mouse, such as Material Graph, Blueprint Graph, viewport, or Content Browser.","현재 마우스 아래의 Material Graph, Blueprint Graph, 뷰포트 또는 콘텐츠 브라우저 패널 단축키를 표시합니다.",""
"Show target and match details","대상 및 일치 상세 표시",""
"Show useful shortcuts for the editor area currently under the mouse.","현재 마우스 아래 에디터 영역의 유용한 단축키를 표시합니다.",""
"Shows opened UMG widget files, creation location, and child widget on/off control source.","열린 UMG 위젯 파일, 생성 위치 및 자식 위젯 표시/숨김 제어 소스를 보여줍니다.",""
"Start trace","추적 시작",""
"Summary","요약",""
"Target: -","대상: -",""
"Toggle freehand notes. Use Save to keep them for this function.","자유 그리기 메모를 켜거나 끕니다. 저장을 누르면 이 함수에 유지됩니다.",""
"Trace opened UMG widgets and child widget visibility changes during PIE.","PIE 중 열린 UMG 위젯과 자식 위젯의 표시 상태 변경을 추적합니다.",""
"Trace PIE property changes in synchronized timeline lanes.","PIE 속성 변경을 동기화된 타임라인 레인에서 추적합니다.",""
"Trace setup","추적 설정",""
"Tracing {0} - {1} variable(s).","{0}의 변수 {1}개를 추적 중입니다.",""
"Use Filter to select a class and variables.","필터에서 클래스와 변수를 선택하세요.",""
"Value","값",""
"Variable Value Trace","변수 값 추적",""
"Widget Click Flow Trace","위젯 클릭 흐름 추적",""
"Widget Lifecycle Trace","위젯 생명주기 추적",""
"Persist a diagnosis, route between tools, and compare Before/After actor state.","진단을 저장하고 도구 사이를 이동하며 액터의 수정 전/후 상태를 비교합니다.",""
"Annotated live Slate example","주석이 포함된 라이브 Slate 예시",""
"Choose a feature tab, then follow its annotated example, workflow, interpretation, and limitation notes.","기능 탭을 선택한 뒤 주석 예시, 작업 순서, 결과 해석 및 제한사항을 확인하세요.",""
"Diagnostic summary","진단 요약",""
"Next action","다음 작업",""
"Open the annotated guide for TraceMotive — Debug Pathfinder for Unreal tools.","TraceMotive — Debug Pathfinder for Unreal 도구의 주석 안내서를 엽니다.",""
"Open the feature-by-feature annotated guide.","기능별 주석 안내서를 엽니다.",""
"Show callouts","설명 표시",""
"Target / context","대상/컨텍스트",""
"The sample actors and values are illustrative. The yellow callouts are painted in a separate non-interactive overlay.","샘플 액터와 값은 설명용입니다. 노란 설명 표시는 별도의 비대화형 오버레이에 그려집니다.",""
"TraceMotive — Debug Pathfinder for Unreal Guide","TraceMotive — Debug Pathfinder for Unreal 안내서",""
