Key,ko,Comment
No direct collision-option fix was detected. Prefer testing the actual movement path with Sweep=true and inspect the returned FHitResult.,No direct collision-option fix was detected. Prefer testing the actual movement path with Sweep=true and inspect the returned FHitResult.,TODO-ko
No logs yet.,아직 로그가 없습니다.,
No matches found in the current editor world.,No matches found in the current editor world.,TODO-ko
No obvious Sweep=false or Teleport movement node was found in the selected actors' Blueprint class chain.,No obvious Sweep=false or Teleport movement node was found in the selected actors' Blueprint class chain.,TODO-ko
No primitive collision component,No primitive collision component,TODO-ko
No specific error line was detected. Check the recent packaging log below.,구체적인 오류 라인을 감지하지 못했습니다. 아래의 최근 패키징 로그를 확인하세요.,
No target selected. Use a selected asset/actor or pick the next PIE click.,선택된 대상이 없습니다. 선택한 에셋/액터를 사용하거나 다음 PIE 클릭 대상을 선택하세요.,
No target selected. Use a selected asset/actor or pick the next PIE click/touch.,선택된 대상이 없습니다. 선택한 에셋/액터를 사용하거나 다음 PIE 클릭/터치 대상을 선택하세요.,
Node,노드,
Non-blocking / aux,Non-blocking / aux,TODO-ko
Not reached,도달하지 않음,
Open,열기,
Open BP,BP 열기,
Open Class Favorites,클래스 즐겨찾기 열기,
Open class favorites for quick viewport placement.,뷰포트에 빠르게 배치할 클래스 즐겨찾기 창을 엽니다.,
Open Node,Open Node,TODO-ko
Open target,대상 열기,
Open the class favorites placement window.,클래스 즐겨찾기 배치 창을 엽니다.,
Open the class favorites window for quick viewport placement.,뷰포트에 빠르게 배치할 클래스 즐겨찾기 창을 엽니다.,
Open the click delivery diagnostics panel.,클릭 전달 진단 패널을 엽니다.,
Open the click/touch delivery diagnostics panel.,클릭/터치 전달 진단 패널을 엽니다.,
Open the matching Blueprint node when available.,가능한 경우 일치하는 Blueprint 노드를 엽니다.,
"Open the most recent Blueprint node for this class, or the Blueprint asset.",이 클래스의 가장 최근 Blueprint 노드 또는 Blueprint 에셋을 엽니다.,
Open the packaging progress monitor.,패키징 진행 상황 모니터를 엽니다.,
"Open the related asset, Blueprint, or source file when it can be inferred.","관련 에셋, 블루프린트, 소스 파일을 추론할 수 있으면 엽니다.",
Open the two-actor runtime collision diagnosis window.,Open the two-actor runtime collision diagnosis window.,TODO-ko
Open this window before PIE to capture audio playback sources.,PIE 시작 전에 이 창을 열어 오디오 재생 출처를 캡처하세요.,
Other,기타,
Overall progress,전체 진행률,
Overlap events are also disabled,Overlap events are also disabled,TODO-ko
Package Progress,패키징 진행 상황,
Packaging error log,패키징 오류 로그,
Packaging failed,패키징 실패,
PASS,PASS,TODO-ko
Pass,Pass,TODO-ko
Passed,통과,
"PhysicsOnly contacts, Chaos simulation details, complex BodySetup cases, and custom primitive implementations cannot be fully proven by this panel.","PhysicsOnly 접촉, Chaos 시뮬레이션 세부 동작, 복잡한 BodySetup, 사용자 정의 Primitive는 이 패널만으로 완전히 증명할 수 없습니다.",
Pick Next PIE Click,다음 PIE 클릭 대상 선택,
Pick Next PIE Click inspects only the UMG widget or Visibility-hit actor under that click. Manual actor/widget selection is also available; no project-wide Blueprint load is performed.,다음 PIE 클릭 대상 선택은 클릭 아래의 UMG 위젯 또는 Visibility에 맞은 액터만 조사합니다. 액터/위젯 직접 선택도 가능하며 프로젝트 전체 Blueprint를 로드하지 않습니다.,
Pick Next PIE Click/Touch,다음 PIE 클릭/터치 대상 선택,
Pick Next PIE Click/Touch inspects only the UMG widget or Visibility-hit actor under that pointer event. Manual actor/widget selection is also available; no project-wide Blueprint load is performed.,다음 PIE 클릭/터치 대상 선택은 해당 포인터 이벤트 아래의 UMG 위젯 또는 Visibility에 맞은 액터만 조사합니다. 액터/위젯 직접 선택도 가능하며 프로젝트 전체 Blueprint를 로드하지 않습니다.,
PIE ended. Audio trace remains armed for the next play session.,PIE가 종료되었습니다. 오디오 추적기는 다음 플레이 세션을 위해 대기합니다.,
PIE started. Existing AudioComponents scanned.,PIE가 시작되었습니다. 기존 AudioComponent를 스캔했습니다.,
PIE starting. Audio trace is armed.,PIE 시작 중입니다. 오디오 추적기가 준비되었습니다.,
Pin,고정,
Pinned,고정됨,
Pinned Only,고정만 보기,
Place,배치,
Place this class at the current level viewport camera location.,이 클래스를 현재 레벨 뷰포트 카메라 위치에 배치합니다.,
"Place this class at world origin (0,0,0).","이 클래스를 월드 원점(0,0,0)에 배치합니다.",
Platform,플랫폼,
Pointer Event Diagnostics,포인터 이벤트 진단,
Preparing call chain trace...,호출 체인 추적 준비 중...,
Preparing Fast Search...,빠른 검색 준비 중...,
Preparing Full Scan...,전체 검색 준비 중...,
Project Content,프로젝트 콘텐츠,
Quick fix tips,Quick fix tips,TODO-ko
Raw Log,원본 로그,
Reached target,대상 도달,
Recent changes,최근 변경,
Recent packaging log,최근 패키징 로그,
Reference,참조,
Referencers,참조자,
Refresh,새로고침,
Refresh Search Results,검색 결과를 새로고침합니다,
Remove this entry from the favorites list. This does not delete actors or assets.,이 항목을 즐겨찾기 목록에서 제거합니다. 액터나 에셋은 삭제하지 않습니다.,
Replace With Selected,Replace With Selected,TODO-ko
Rescan Input Mappings,입력 매핑 다시 스캔,
Reset,초기화,
Result,Result,TODO-ko
Row Layout,행 정렬,
Run required,실행 필요,
Running,진행 중,
Runtime Instance,런타임 인스턴스,
Runtime physics state is missing,Runtime physics state is missing,TODO-ko
Same Folder,같은 폴더,
Save Snapshot,스냅샷 저장,
Scope,범위,
Search,검색,
Search / View / Filters / Export / Trace,검색 / 보기 / 필터 / 내보내기 / 추적,
"Search actor tags, variable names, and variable values in current level instances.","Search actor tags, variable names, and variable values in current level instances.",TODO-ko
"Search actor, component, tag, variable name, or variable value","Search actor, component, tag, variable name, or variable value",TODO-ko
Search events,이벤트 검색,
"Search loaded editor-world instances without loading every Blueprint. Includes tags, Details variable names, and variable values.","Search loaded editor-world instances without loading every Blueprint. Includes tags, Details variable names, and variable values.",TODO-ko
"Search loaded level instances, tags, and Details variables without freezing the editor.","Search loaded level instances, tags, and Details variables without freezing the editor.",TODO-ko
Searching Assets...,에셋 검색 중...,
Select,선택,
"Select or capture actor A and B, then run Analyze.","Select or capture actor A and B, then run Analyze.",TODO-ko
Select the runtime owner actor instance in the editor.,에디터에서 런타임 Owner 액터 인스턴스를 선택합니다.,
Selected only,Selected only,TODO-ko
Selection required,Selection required,TODO-ko
Short sweep probe did not hit this pair,Short sweep probe did not hit this pair,TODO-ko
Show Call Chain,호출 체인 보기,
Show Calls,호출 표시,
Show Classes,클래스 보기,
Show complete function call chain from root callers,루트 호출자부터 전체 함수 호출 체인을 표시합니다,
Show Definitions,정의 표시,
Show Errors,오류 보기,
Show function references in a visual graph editor,함수 참조 관계를 그래프 편집기에서 시각적으로 표시합니다,
Show Get,Get 표시,
Show Ignored,무시 항목 표시,
Show Lines,연결선 표시,
Show Menu,메뉴 보기,
Show only one latest row per runtime instance. Counts still include repeated events and merged error groups.,런타임 인스턴스마다 최신 행 하나만 표시합니다. 카운트에는 반복 이벤트와 병합된 오류 그룹이 계속 포함됩니다.,
Show references in a visual graph editor,참조 관계를 그래프 편집기에서 시각적으로 표시합니다,
Show Set,Set 표시,
Show solid reference lines from the definition node to each referencing node,정의 노드에서 각 참조 노드로 이어지는 실선을 표시합니다,
Showing,표시,
Skip,건너뜀,
Source compile error,소스 컴파일 오류,
Stats,통계,
Status,상태,
Succeeded,성공,
Suspicious movement nodes,Suspicious movement nodes,TODO-ko
Swap A / B,Swap A / B,TODO-ko
Sweep hits,Sweep hits,TODO-ko
Sweep probe skipped: component has no world.,Sweep probe skipped: component has no world.,TODO-ko
Sweep probe skipped: components are invalid or not in the same world.,Sweep probe skipped: components are invalid or not in the same world.,TODO-ko
"Sweep probe skipped: the components share the same center, so no reliable sweep direction could be inferred.","Sweep probe skipped: the components share the same center, so no reliable sweep direction could be inferred.",TODO-ko
"Sweep=false, Teleport, custom ignore lists, or a MovementComponent using a non-blocking UpdatedComponent can bypass otherwise valid blocking collision.","Sweep=false, Teleport, 사용자 무시 목록, 또는 차단하지 않는 UpdatedComponent를 쓰는 MovementComponent는 정상적인 Block 충돌도 우회할 수 있습니다.",
Swept movement can block,Swept movement can block,TODO-ko
"Sync the Content Browser to this asset, matching the editor Ctrl+B behavior.",콘텐츠 브라우저를 이 에셋 위치로 이동합니다. 에디터의 Ctrl+B 동작과 같습니다.,
Tag,Tag,TODO-ko
Tags,Tags,TODO-ko
Target: {0},대상: {0},
Teleport-style movement can bypass normal swept blocking. Verify this is intentional for collision-critical movement.,Teleport-style movement can bypass normal swept blocking. Verify this is intentional for collision-critical movement.,TODO-ko
"The pair resolves to Overlap, not Block","The pair resolves to Overlap, not Block",TODO-ko
This component pair is configured to Block,This component pair is configured to Block,TODO-ko
"This panel reports evidence and likely causes, not an absolute collision verdict.","이 패널은 증거와 가능성 높은 원인을 보고하며, 절대적인 충돌 판정이 아닙니다.",
This selected item has no captured changes yet. Select the actor root or clear filters to see all recent events.,선택한 항목에 캡처된 변경이 아직 없습니다. 최신 이벤트를 보려면 액터 루트를 선택하거나 필터를 해제하세요.,
This selected item has no captured changes.,선택한 항목에 캡처된 변경이 없습니다.,
Toggle between detailed error groups and deduplicated error classes.,상세 오류 그룹 보기와 중복 제거된 오류 클래스 보기를 전환합니다.,
Trace,추적,
Trace Details,추적 상세,
Trace Instance References,인스턴스 참조 추적,
Track Blueprint runtime errors and identify the live instance that emitted each error.,블루프린트 런타임 오류를 추적하고 각 오류를 발생시킨 실제 인스턴스를 식별합니다.,
Track Blueprint runtime errors with live PIE instance information.,PIE 인스턴스 정보와 함께 블루프린트 런타임 오류를 추적합니다.,
Track live references to the selected actor instance during Editor/PIE.,Editor/PIE 중 선택한 액터 인스턴스의 실시간 참조를 추적합니다.,
Transform,트랜스폼,
Tree View,트리 보기,
Two actors are required,Two actors are required,TODO-ko
Type a search term. The scan runs in small batches so the editor does not freeze.,Type a search term. The scan runs in small batches so the editor does not freeze.,TODO-ko
Unique groups,고유 그룹,
Unpin,고정 해제,
Use Selected Actor,선택 액터 사용,
Use Selected Widget,선택 위젯 사용,
Use Two Selected,Use Two Selected,TODO-ko
Variable name,Variable name,TODO-ko
Variable names,Variable names,TODO-ko
Variable value,Variable value,TODO-ko
Variable values,Variable values,TODO-ko
Verdict,판정,
View,보기,
View full diagnostic steps for last click v,마지막 클릭의 전체 진단 단계 보기 v,
Visibility,가시성,
Visual Find Function References,시각적 함수 참조 찾기,
Visual Find References,시각적 참조 찾기,
Visual Reference Viewer,시각적 참조 뷰어,
Visual Variable/Function Reference Viewer,시각적 변수/함수 참조 뷰어,
Visual Variable/Function References,시각적 변수/함수 참조,
Waiting,대기 중,
Watch:,감시:,
{0} changes,{0} 변경,
{0} changes (including children),{0} 변경 사항(하위 항목 포함),
{0} has no visible changes - showing recent matching changes,{0}에 표시할 변경이 없어 최신 일치 이벤트를 표시합니다,
{0} likely issue(s) found,원인 후보 {0}개 감지,
{0}\n(Self References),{0}\n(자기 참조),
Search Boost: ON,검색 부스트: 켜짐,
Search Boost: OFF,검색 부스트: 꺼짐,
Use more editor time per tick to finish searches faster.,검색을 더 빠르게 끝내기 위해 틱마다 더 많은 에디터 시간을 사용합니다.,
Use more editor time per tick for the next call-chain/search operation.,다음 콜체인/검색 작업에서 틱마다 더 많은 에디터 시간을 사용합니다.,
Variable pair,변수 페어,
Variable name (ex: a),변수명 (예: a),
Variable value (ex: abc),변수값 (예: abc),
Clear pair,페어 지우기,
Enter both variable name and value to run a pair search.,페어 검색을 실행하려면 변수명과 변수값을 모두 입력하세요.,
Details variable name and value pair matched.,Details 변수명과 변수값 페어가 일치했습니다.,
"Applies gameplay time dilation and audio pitch speed together for PIE/Game worlds.","PIE/게임 월드에 시간 배율과 오디오 피치 속도를 함께 적용합니다.",""
